productid,brand_name,categories,description,details,img_url,ingredients,keywords,love_count,price,product_id,rev_count,product_name,product_url,size,use
310,Bite Beauty,"makeup, lip, lip balm & treatment",Shop Bite Beauty’s Agave Lip Mask at Sephora. This antioxidant lip treatment delivers hydration and shine.,"What it is:
A soothing, leave-on lip mask that replenishes moisture.

What it does:
This innovative formula smooths, nourishes, and hydrates lips with a bioactive blend of organic agave nectar, jojoba oil, vanilla co2 extract, and triple the amount of the antioxidant trans-resveratrol found in red wine.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
Handcrafted in downtown Toronto, Bite Beauty was born with a singular idea: to create lipstick that is remarkably different. By sourcing food-grade, or good-enough-to-eat ingredients, developing innovative formulas, and producing each and every product in house, the company succeeds at manufacturing without compromise. Bite Beauty ensures only the highest standards for color, texture, and performance, with a sole focus on lips—proving there’s no sacrifice in quality for products sourced from nature.",http://www.sephora.com/productimages/sku/s1575042-main-Lhero.jpg,"Agave Lip Mask
-Resveratrol: Provides antioxidant benefits equivalent to 15 glasses of red wine.
-Medical-grade Lanolin
-Jojoba Oil: Heals.

Lanolin* (medical grade), Organic Ricinus Communis (Castor) Seed Oil**, Organic Agave Tequilana (blue agave) nectar**, Olea Europaea (Olive) Oil Unsaponifiables*, Organic Cera Alba (Beeswax)**, Flavor, Vanillin, Siraitia Grosvenori (Monk Fruit)*, Vanilla Tahitensis (Vanilla) Fruit Extract*, Organic Copernicia Cerifera (Carnauba) Wax*, Trans-Resveratrol*, Vitis Vinefera (Grape) oil*, Tocopherol acetate*, Lonicera Caprifolium (Honeysuckle) Flower Extract (And) Lonicera Japonica (Honeysuckle) Flower Extract (and) Simmondsia Chinensis (Jojoba) Seed Oil*.",agave lip mask,60000,26.0,P384629,2844,Agave Lip Mask,http://www.sephora.com/agave-lip-mask-P384629,0.52 oz/ 15 g,"Suggested Usage:
-Apply at bedtime and wear throughout the day for a powerful boost in hydration and shine."
761,SEPHORA COLLECTION,"makeup, face, highlighter","Coverage:
✔ Sheer
Skin type:
✔ Sensitive
✔ Normal
✔ Dry
✔ Combination
✔ Oily
Finish:
✔ Radiant
✔ Natural
What it is:
 An illuminating spray with a translucent base and subtle rose go","Coverage:
✔ Sheer

Skin type:
✔ Sensitive
✔ Normal
✔ Dry
✔ Combination
✔ Oily

Finish:
✔ Radiant
✔ Natural

What it is:
An illuminating spray with a translucent base and subtle rose gold-colored micro pearls.

What it does:
The Perfection Mist Nude Glow creates a natural, sparkle-free, dewy sheen on the skin for an airbrushed finish. The warm glow flatters every skin tone for a youthful look that’s never glittery. Infused with instablend pigment technology, the mist delivers an even layer that does not need to be blended.

What it is formulated WITHOUT:
- Parabens

What else you need to know:
This product is dermatologist tested and noncomedogenic.

Research results:
In a consumer study:
-100% of participants reported a luminous finish
-95% said the product feels lightweight and layers well over makeup
-90% experienced long wear",http://www.sephora.com/productimages/sku/s1879576-main-Lhero.jpg,,perfection mist nude glow,3854,20.0,P415312,22,Perfection Mist Nude Glow,http://www.sephora.com/perfection-mist-nude-glow-P415312,2.0 oz/ 60 mL,
178,SEPHORA COLLECTION,"makeup, lip, lip balm & treatment","What it is:
A balm that moisturizes and nourishes lips. 

What it is formulated to do:
This hydrating balm keeps your lips soft, comfortable, and looking great. Rotate the stick container to slide product up and down like a lipstick. Contains she","What it is:
A balm that moisturizes and nourishes lips.

What it is formulated to do:
This hydrating balm keeps your lips soft, comfortable, and looking great. Rotate the stick container to slide product up and down like a lipstick. Contains shea butter, beeswax, grapeseed oil, vitamin E, and meadowfoam seed oil.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
This product is not tested on animals.",http://www.sephora.com/productimages/sku/s1303783-main-Lhero.jpg,"-Shea Butter: Provides emollient properties and improves skin's texture.
-Grapeseed Oil: Rich in essential fatty acids it, prevents dehydration and helps restore skin elasticity.
-Meadowfoam Seed Oil: This triglyceride proivies antioxidant properties.
-Vitamin E: Contains antioxidant properties.

Paraffinum Liquidum (Mineral Oil), Polyethylene, Cera Alba (Beeswax), Propylene Glycol Dicaprylate/Dicaprate, Cetyl Palmitate, Vitis Vinifera (Grape) Seed Oil, Butyrospermum Parkii (Shea) Butter, Ozokerite, Euphorbia Cerifera (Candelilla) Wax, Oryza Sativa Bran Cera, Limnanthes Alba (Meadowfoam) Seed Oil, Tocopheryl Acetate, Parfum (Fragrance), CI 77891 (Titanium Dioxide), Bisabolol, Tocopherol, Lecithin, Ascorbyl Palmitate, Glyceryl Oleate, Glyceryl Stearate, Citric Acid, BHT.",super nourishing lip balm,20000,4.0,P286029,1433,Super Nourishing Lip Balm,http://www.sephora.com/super-nourishing-lip-balm-P286029,0.123 oz/ 3.5 g,"Suggested Usage:
-Apply to lips as often as desired to moisturize and nourish lips.
-Apply under lipstick."
328,Dr. Jart+,"makeup, face, bb & cc cream","What it is:An innovative formula to moisturize, protect, and correct pores for a beautiful, radiant complexion.What it is formulated to do:- For combination to oily skin, this powerful formula conceals and treats enlarged pores and blemishes- Feature","What it is:
An innovative formula to moisturize, protect, and correct pores for a beautiful, radiant complexion.

What it is formulated to do:
- For combination to oily skin, this powerful formula conceals and treats enlarged pores and blemishes
- Features SPF 30 sun protection
- Comes in one universal shade

This all-in-one, innovative pore tightening formula delivers flawless coverage, sun protection, and hydration benefits. The perfect mixture of smoothing powder and elastic silky polymer gives tight adherence and covers blemishes and pores, fine lines, and uneven skin tone. It helps to smooth and clear skin by treating large pores while herbal extracts control excessive sebum and present a fresh look all day long. The multifunctional BB cream brightens, provides antiwrinkle benefits, and protects the skin from harm UV rays, leaving the complexion smooth, beautiful, and natural-looking.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
This BB cream is hypoallergenic, cruelty-free, and dermatologist tested.

Beauty Balms or BB Creams were originally developed as a perfect post-procedure cream used to treat, hydrate, prime, protect, and camouflage the skin. Great for all skin types including those with sensitive skin, these versatile “five-in-one” formulas are designed to do it all: treat with high levels of active skin care ingredients; moisturize and smooth dehydrated skin; prime and perfect skin’s surface; camouflage and color correct the skin tone; and protect skin from the sun with SPF. They can be used as a last step for their skin care benefits or used on their own as an instant beautifier.",http://www.sephora.com/productimages/sku/s1603794-main-Lhero.jpg,"fair to light skintones with neutral undertones
-Titanium Dioxide 9.45%, Octinaxate 4%, and Zinc Oxide 0.98%
-Vita Bright Capsules: Even skin tone.
-Vitamin Tree Fruit: Brightens skin.
-Snow Lotus: Brightens and soothes.
-Nordenau Water: Moisturizes.

Water, Cyclopentasiloxane, Dimethicone, PEG-10 Dimethicone, Butylene Glycol, Niacinamide, Pentylene Glycol, Polymethylsilsesquioxane, Disteardimonium Hectorite, Cyclomethicone, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Dimethicone Crosspolymer, Methylpropanediol, Methyl Methacrylate Crosspolymer, Magnesium Sulfate, Cetyl PEG/PPG-10/1 Dimethicone, PhenylTrimethicone, Phenoxyethanol, Triethoxycaprylylsilane, Aluminum Hydroxide, Stearic Acid, Ethylhexylglycerin, Butyl Avocadate, Disodium EDTA, Cananga Odorata Flower Extract, Chamaecyparis Obtusa Oil, Lavandula Angustifolia (Lavender) Flower Water, Rosmarinus Officinalis (Rosemary) Leaf Water, Mentha Rotundifolia Leaf Extract, Chamomilla Recutita (Matricaria) Flower Water, Mentha Piperita (Peppermint) Leaf Water, Hibiscus Sabdariffa Flower Extract, Jasminum Officinale (Jasmine) Flower Water, Argania Spinosa Kernel Extract, Sodium Cocoyl Glutamate, Rosa Multiflora Fruit Extract, Carbomer, Propyl Gallate, Iron Oxides (CI 77492, CI 77491, CI 77499).",bb dis a pore beauty balm,8425,36.0,P386116,283,BB Dis-A-Pore Beauty Balm,http://www.sephora.com/bb-dis-a-pore-beauty-balm-P386116,1.7 oz,"Suggested Usage:
-Apply liberally 15 minutes before sun exposure.
-Use a water resistant sunscreen if swimming or sweating.
-Reapply at least every two hours.

Precautions:
-For external use only.
-Do not use on damaged or broken skin.
-When using this product, keep out of eyes.
-Rinse with water to remove.
-Stop use and ask a doctor if rash occurs.
-Keep out of reach of children.
-If swallowed, get medical help or contact a poison control center right away."
47,Givenchy,"makeup, lip, lipstick","What it is:An exceptionally smooth, long-wearing lipstick.What it is formulated to do:This lipstick adds sexy, light-reflective color to the lips as it nourishes and hydrates with powerful antioxidants.What else you need to know:Rouge Interdit is mor","What it is:
An exceptionally smooth, long-wearing lipstick.

What it is formulated to do:
This lipstick adds sexy, light-reflective color to the lips as it nourishes and hydrates with powerful antioxidants.

What else you need to know:
Rouge Interdit is more than a lipstick: it's a fashion accessory with a designer signature. The black and silver tube is an objet d'art adorned with a ribbon at one end that unlocks this beautiful piece. Wear anytime, in any circumstance. When applied, it immediately soothes and softens. Its fine, spreadable texture melts over the lips.

Beauty Tip:
Use deeper shades of color in either the lip color or lip liner at the outer corners of the lip to create depth and dimension.",http://www.sephora.com/productimages/sku/s1897735-main-Lhero.jpg,"01 Secret Nude
All shades contain:
Ricinus Communis (Castor) Seed Oil, Pentaerythrityl Tetraisostearate, Isostearyl Isostearate, Hydrogenated Polyisobutene, Polybutene, Lanolin Oil, Polyethylene, Euphorbia Cerifera (Candelilla) wax, Ethylhexyl Methoxycinnamate, Cera Alba (Beeswax), Ozokerite, Polyglyceryl-3 Polyricinoleate, Parfum (Fragrance), Propyl Gallate, BHT, Alpha-Isomethyl Ionone, Camelina Sativa Seed Oil, Polyacrylate-4, Citronellol, Linalool, Geraniol, Limonene, Eugenol. +/-: Silica, Aluminum Hydroxide, Calcium Sodium Borosilicate, Tin Oxide. +/-: CI 12085 (Red 36), CIK 15850 (Red 6 - Red 7 - Red 7 Lake), CI 15985 (Yellow 6 Lake), CI 17200 (Red 33 Lake), CI 19140 (Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 45380 (Red 21 - Red 22 Lake), CI 45410 (Red 28 Lake), CI 73360 (Red 30 - Red 30 Lake), CI 75470 (Carmine), CI 77163 (Bismuth Oxychloride), CI 77491 - CI 77492 - CI 77499 (Iron Oxides), CI 77742 (Manganese Violet), CI 77891 (Titanium Dioxide), Mica.",rouge interdit satin lipstick,20000,34.0,P181912,680,Rouge Interdit Satin Lipstick,http://www.sephora.com/rouge-interdit-satin-lipstick-P181912,,"Suggested Usage:
-Wear alone or pair it with a lip liner close to that of your Rouge Interdit shade for high-definition makeup.
-Top with gloss for added shine."
78,Lancôme,"makeup, eye, mascara","What it is:A lash-conditioning, mascara primer in the same great formula and new packaging that conditions and primes lashes to maximize results—creating even longer and more volumized lashes.
What it does:Give your lashes an XL boost. With jus","What it is:
A lash-conditioning, mascara primer in the same great formula and new packaging that conditions and primes lashes to maximize results—creating even longer and more volumized lashes.

What it does:
Give your lashes an XL boost. With just one sweep, this innovative mascara primer glides on and evenly coats and smooths your lashes to maximize the results of your favorite mascara. The magic behind this mascara base is the conditioning formula—infused with micro-fibers and Vitamin E— which adds extra length and thickness to lashes for added visible performance. White in color, it allows the black pigments to stand out from the clean base with more intensity than with traditional mascaras.

What else you need to know:
CILS BOOSTER XL lengthens and thickens lashes to maximize the results of any mascara. Use CILS BOOSTER XL as a ""lash mask"" at night on clean lashes to nourish and rejuvenate.

Beauty Tip:
Apply the luxurious Rénergie Lift Multi-Action Eye cream before using CILS BOOSTER XL for a youthful, radiant, wide-eyed look.",http://www.sephora.com/productimages/sku/s852939-main-Lhero.jpg,"Mascara Base
Water, Oryza Sativa Cera/Rice Bran Wax, Cera Carnauba/Carnauba Wax/Cire De Carnauba, Cera Alba/Beeswax/Cire D'abeille, Stearic Acid, Candelilla Cera/Candelilla Wax/Cire De Candelilla, Triethanolamine, Palmitic Acid, Acacia Senegal/Acacia Senegal Gum, Panthenol, Sodium, Polymethacrylate, Hydroxyethylcellulose, Propylparaben, Peg/Ppg-17/18 Dimethicone, Methylparaben, Simethicone, Rayon, Polyquaternium-10, Tocopheryl Acetate, Polycaprolactone.",cils booster xl super enhancing mascara base,30000,25.5,P128706,1746,CILS BOOSTER XL Super-Enhancing Mascara Base,http://www.sephora.com/cils-booster-xl-super-enhancing-mascara-base-P128706,0.19 oz,
615,bareMinerals,"makeup, lip, lipstick","What it is:
 A long-wearing, moisturizing, full-coverage, cream-to-matte lip color in a range of statement-making nude shades for all skin tones. 

What it does:
 When it comes to the nude lip, there is no such thing as one-size-fits-all color. M","What it is:
A long-wearing, moisturizing, full-coverage, cream-to-matte lip color in a range of statement-making nude shades for all skin tones.

What it does:
When it comes to the nude lip, there is no such thing as one-size-fits-all color. Meet the next generation of nude: this next-level GEN NUDE™ Matte Liquid Lipcolor is a long-wearing, cream-to-matte color with a lightweight, non-tacky texture. Formulated with moisturizing ingredients to counteract dryness, this lip color glides on silky smooth and provides a subtle, vanilla scent. The flexible paddle applicator delivers full coverage in one sweep. For best results, wait 10 minutes before eating or drinking to allow the color to set.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
Featuring 60 shades and four finishes, GEN NUDE was developed for all skin tones and lip tones, to be a playground of nude lip shades for everyone, from makeup novice to artist. Whether you want an edgy, blanked-out nude look, a natural your-lips-but-better nude, or a deeper neutral contrast color, you're guaranteed to find shades for any look. Blend and layer colors and finishes for infinite ways to go nude.

This product is free of petrolatum and is vegan, gluten-free, and was not tested on animals.",http://www.sephora.com/productimages/sku/s1845577-main-Lhero.jpg,,gen nude matte liquid lipcolor,60000,18.0,P410249,524,GEN NUDE™ Matte Liquid Lipcolor,http://www.sephora.com/gen-nude-matte-liquid-lipcolor-P410249,0.13 oz,"Suggested Usage:
-Apply with the paddle applicator for full-coverage color in one sweep, or use the slim end of the Double-Ended Perfect Fill Lip Brush for a more precise application.
-Finish your look: use GEN NUDE™ Under Over Lip Liner before or after applying lip color to create more definition around the edges.
-For best results, wait 10 minutes before eating or drinking to allow the color to set.

Precautions:
-Store in a cool, dry place."
402,Dior,"makeup, face, foundation","What it is:A lightweight foundation serum that creates an enhanced complexion and a sheer finish.
What it does:Dior’s Diorskin Nude Air Serum Foundation is a weightless, ultra-fluid foundation serum that creates a nude makeup look.","What it is:
A lightweight foundation serum that creates an enhanced complexion and a sheer finish.

What it does:
Dior’s Diorskin Nude Air Serum Foundation is a weightless, ultra-fluid foundation serum that creates a nude makeup look. Formulated with SPF 25, it offers sun protection and the fresh-faced beauty of a natural-looking glow. Infused with Oxygen Activ™ technology, an innovative blend of a hyper-oxygenated oil, cranberry oil, vitamin, and minerals, this serum’s high-precision dropper deposits an undetectable film of makeup onto the skin, while its soft-focus agents and glazed pigments instantly produce an even-looking complexion that achieves the right amount of coverage for a radiant, sheer finish.

What else you need to know:
This product is free of talc.

Beauty Tip:
Create an even more radiant, youthful-looking appearance by pairing with Dior Capture Totale Foundation SPF 25.

This product is an Allure Best of Beauty award winner.",http://www.sephora.com/productimages/sku/s1665207-main-Lhero.jpg,,diorskin nude air serum foundation,10000,53.0,P393135,529,Diorskin Nude Air Serum Foundation,http://www.sephora.com/diorskin-nude-air-serum-foundation-P393135,1 oz,
754,Urban Decay,"makeup, face, face primer","Shop Urban Decay’s Quick Fix Hydracharged Complexion Prep Priming Spray at Sephora. It primes, minimizes the look of pores, and brightens and smooths skin.","What it is:
A hydrating, soothing priming spray that visibly reduces the appearance of pores, brightens and smooths skin, and hydrates.

What it does:
Reduce the look of a late night out with this priming spray. Once you cleanse your post-party complexion, balance and reinvigorate your skin with Urban Decay’s Quick Fix Hydra-Charged Complexion Prep Priming Spray. The soothing, prep-priming spray is light enough to use throughout the day—without messing up your makeup, and it also hydrates and softens skin. Use it in the morning to prep and reawaken your skin before applying makeup. Use it at night before your treatment, or anytime you need a quick boost.

Created in an exclusive partnership with Skindinavia and inspired by the Korean water trend, this spray is even more hydrating than B6 Prep Spray. This energizing formula is versatile enough for every skin type, and it’s loaded with skin-nourishing ingredients like vitamin B3, Sepitonic™ M3, and coconut water. Treat your skin to intense moisture as you prep, prime, and balance your complexion.

What else you need to know:
Quick Fix comes in a sleek, soft-touch neon green bottle with a frosted white cap. Like other Urban Decay sprays, the sprayer emits a calibrated, micro-fine mist that goes on so light, you’ll hardly feel it—and it and smells like a summer day on the beach.

Research results:
In a clinical study on 30 people, immediately after use:
- 100% of participants had a reduction in pore visibility
- 100% had a visible improvement in skin radiance
- 83% had a visible improvement in skin hydration",http://www.sephora.com/productimages/sku/s1899962-main-Lhero.jpg,,quick fix hydracharged complexion prep priming spray,6841,31.0,P415988,45,Quick Fix Hydracharged Complexion Prep Priming Spray,http://www.sephora.com/quick-fix-hydracharged-complexion-prep-priming-spray-P415988,0.33 oz/ 10 mL,
811,FARSÁLI,"skincare, treatments, face serums",Shop FARSÁLI’s Unicorn Essence at Sephora. This water-based serum helps support the skin tone and prep it for makeup application. ,"What it is:
An innovative water-based, dual purpose serum, which helps protect the skin from free radical damage, while preparing it for makeup application.

What it does:
FARSÁLI’s Unicorn Essence at Sephora is enriched with four superfruit extracts that are loaded with antioxidants—known for their antiaging properties: açaí berry, goji berry, elderberry, and blueberry. The Açaí berries and blueberries not only contain powerful antioxidants, they are also packed with vitamin C, which supports the skin tone. Thanks to its water-based formula, this serum will allow your skin to soak up the supplements, leaving it hydrated without a greasy residue.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates",http://www.sephora.com/productimages/sku/s1931526-main-Lhero.jpg,,unicorn essence,10000,54.0,P417141,29,Unicorn Essence,http://www.sephora.com/unicorn-essence-P417141,1 oz/ 30 mL,
